ZIP,Population,Proportion of Population,Energy Surplus per ZIP Code,EVs Supported by Surplus
12183,2620.0,0.000773931391277557,1577420.2306552664,262903.3717758777
13830,5042.0,0.0014893748377181077,3035630.8408258986,505938.4734709831
11235,79132.0,0.023375091165868563,47642907.51611166,7940484.58601861
10576,5116.0,0.0015112339686167867,3080183.9313100544,513363.98855167575
14514,6389.0,0.0018872700988062255,3846617.501395609,641102.9168992682
14530,5575.0,0.0016468196589207557,3356533.5060698898,559422.2510116483
12788,2908.0,0.0008590047655859295,1750816.0422692804,291802.67371154675
11787,35772.0,0.010566822033885788,21537204.767557323,3589534.1279262207
12480,634.0,0.00018727958094273705,381711.6130669614,63618.6021778269
10006,3011.0,0.0008894303126476045,1812829.1276729035,302138.1879454839
14040,2217.0,0.0006548877459779937,1334786.508153712,222464.41802561865
11980,4990.0,0.0014740143673568737,3004323.2637289236,500720.5439548206
11413,38912.0,0.011494358128775684,23427700.76918234,3904616.794863723
14572,5081.0,0.001500895190489033,3059111.5236486294,509851.9206081049
11762,22360.0,0.0066050022553306,13462258.151699144,2243709.6919498574
11225,56829.0,0.01678692634920316,34214967.28546112,5702494.547576853
