,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
965,230231,New Tech Energy,Brooklyn,NY,11230,Kings,40.6225,-73.965
967,114919,The William Vale Hotel - Tesla Destination,Brooklyn,NY,11249,Kings,40.6451,-73.945
979,115179,Quik Park Little West LLC - Tesla Destination,New York,NY,10280,New York,40.7105,-74.0163
981,115117,GGMC Parking Carnegie Garage - Tesla Destination,New York,NY,10128,New York,40.7816,-73.9511
987,115054,Icon Parking 220 Riverside Blvd - Tesla Destination,New York,NY,10024,New York,40.7864,-73.9764
991,115088,Icon Parking 308 Greenwich - Tesla Destination,New York,NY,10013,New York,40.7185,-74.0025
1009,115146,Roger Smith Hotel - Tesla Destination,New York,NY,10017,New York,40.7517,-73.9707
1013,223322,DOCK STATION 9,New York,NY,10155,New York,40.7611,-73.968
1016,196566,NYC FLEET DCASCSTHSE_2_L3,Middle Village,NY,11379,Queens,40.7173,-73.8792
1019,122488,MTP Parking 41-42 24th Street - Tesla Destination,Long Island City,NY,11101,Queens,40.7446,-73.9345
1020,115049,Icon Parking 810 Seventh Ave - Tesla Destination,New York,NY,10019,New York,40.7651,-73.9858
1025,114914,Standard Parking 2 Metrotech - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
1038,115114,Icon Parking 111 8th Ave Parking - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
1042,115174,Parkit 10 Wooster St. - Tesla Destination,New York,NY,10013,New York,40.7185,-74.0025
1043,122475,IMPark 353 4th Ave - Tesla Destination,Brooklyn,NY,11215,Kings,40.6669,-73.9828
1048,188148,Minetta Garage,New York,NY,10012,New York,40.7255,-73.9983
1049,149299,Mall at Bay Plaza - Tesla Supercharger,Bronx,NY,10475,Bronx,40.8729,-73.8278
1056,191506,3474 Putnam Place,Bronx,NY,10467,Bronx,40.8737,-73.8712
1064,114907,Kings County Parking - Tesla Destination,Brooklyn,NY,11203,Kings,40.6505,-73.9349
1067,150697,Brunos Bakery and Restaurant - Tesla Destination,Staten Island,NY,10310,Richmond,40.6324,-74.1171
1087,187817,Travelers Parking,New York,NY,10014,New York,40.7339,-74.0054
1093,114996,Rapidpark 99 Park Ave - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
1094,223257,420 E. 53rd St.,New York,NY,10022,New York,40.7571,-73.9657
1101,217354,INDUSTRY CITY LOT B EAST,Brooklyn,NY,11232,Kings,40.6521,-74.0018
1108,223292,305 East 80th Street,New York,NY,10075,New York,40.7143,-74.006
1117,230788,BNY - Building 292,Brooklyn,NY,11205,Kings,40.6924,-73.9666
1118,115191,Icon 9-11 Park Ave - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
