,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
334,2019,NY,Total Electric Power Industry,Wind,44558810,0.03385843191198664
335,2019,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4724340,0.0035898342935790912
336,2020,NY,Total Electric Power Industry,Total,1294302710,1.0
337,2020,NY,Total Electric Power Industry,Coal,1436920,0.0011101885122376048
338,2020,NY,Total Electric Power Industry,Pumped Storage,-3279480,-0.0025337812975760516
339,2020,NY,Total Electric Power Industry,Hydroelectric Conventional,295498820,0.22830734859544566
340,2020,NY,Total Electric Power Industry,Natural Gas,529655930,0.40922106235874295
341,2020,NY,Total Electric Power Industry,Nuclear,384300760,0.29691721807489685
342,2020,NY,Total Electric Power Industry,Other Gases,0,0.0
343,2020,NY,Total Electric Power Industry,Other,9971380,0.007704055568268107
344,2020,NY,Total Electric Power Industry,Petroleum,3496510,0.0027014623186565065
345,2020,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,8399580,0.006489656503925577
346,2020,NY,Total Electric Power Industry,Other Biomass,14962300,0.011560124138193299
347,2020,NY,Total Electric Power Industry,Wind,45217260,0.0349356140960255
348,2020,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4642730,0.0035870511311839872
349,2021,NY,Total Electric Power Industry,Total,1249449350,1.0
350,2021,NY,Total Electric Power Industry,Coal,0,0.0
