city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
2315,165223,SUNY BROOME SUNY BROOME #1,Binghamton,13905,Broome County,42.1151,-75.9309,1036.0,101100.0,11956.0,34520.0
2316,197701,SKICENTER EVSE2,Camden,13316,Oneida County,43.3392,-75.7543,40.0,104100.0,2538.0,50027.0
2317,186156,CITY AMSTERDAM EV4,Amsterdam,12010,Montgomery County,42.9387,-74.1882,221.0,110500.0,12069.0,44256.0
2318,227682,Akwesasne Mohawk RV Parking,Hogansburg,13655,St. Lawrence County,44.9825,-74.6626,174.0,111500.0,1283.0,28889.0
2319,207730,1 WATERLINE STATION#3,New York,10069,New York County,40.778,-73.9884,49908.0,966600.0,2696.0,170630.0
2320,217200,MONTANTE SOLAR STATION 3,Buffalo,14209,Erie County,42.913,-78.8656,8673.0,177500.0,3954.0,30086.0
2321,123095,Park & Ride (New York State DOT),Jamestown,14701,Chautauqua County,42.0928,-79.244,441.0,70500.0,17097.0,35997.0
2322,173901,BURNS MGT EXCELSIOR 4,Saratoga Springs,12866,Saratoga County,43.0708,-73.7408,551.0,274400.0,15618.0,67979.0
2323,181636,THERMAL QUICK AG EV1,Clifton Park,12065,Saratoga County,42.8499,-73.7851,1197.0,260300.0,17086.0,80908.0
2324,230853,Oneida Public Library,Oneida,13421,Madison County,43.0862,-75.6508,336.0,108900.0,5847.0,47109.0
2325,114926,Fairfield Inn by Marriott Corning Riverside - Tesla Destination,Corning,14830,Steuben County,42.1383,-77.0475,221.0,98300.0,8517.0,51902.0
2326,184725,BNL North side of Bldg 535 (2 outlets),Upton,11961,Suffolk County,40.9018,-72.8881,1003.0,253500.0,5589.0,54312.0
2327,182984,LARKIN726RRAMPP LARKIN 2,Buffalo,14210,Erie County,42.8614,-78.8205,4584.0,59200.0,6257.0,32197.0
2328,162347,24 STATE STREET PITTSFORD,Pittsford,14534,Monroe County,43.0695,-77.5141,972.0,244200.0,11932.0,106113.0
2329,226483,Scarsdale Ford,Scarsdale,10583,Westchester County,40.9927,-73.7995,3153.0,834300.0,13710.0,168571.0
2330,221294,GARVEY SIDE 2,Queensbury,12804,Warren County,43.329,-73.6818,500.0,208400.0,10930.0,60152.0
2331,192640,AECSOLAR STATION 3 AEC,Albany,12203,Albany County,42.7003,-73.8575,2626.0,194800.0,12840.0,54059.0
2332,122481,Sylvan Kissena Garage LLC - Tesla Destination,Flushing,11355,Queens County,40.7536,-73.8226,49492.0,507500.0,28837.0,41884.0
2333,162180,LIA HONDA STATION1,Buffalo,14221,Erie County,42.9685,-78.7492,2329.0,180800.0,22676.0,75189.0
2334,230950,Zenger Group-East Park,Tonawanda,14150,Erie County,43.0028,-78.8547,2789.0,106500.0,18637.0,51852.0
2335,211861,"Site Centers The Hub (Hempstead, NY)",Hempstead,11550,Nassau County,40.7049,-73.6176,13247.0,333400.0,16033.0,53669.0
2336,228142,Hannaford Supermarket,Troy,12182,Rensselaer County,42.7829,-73.6648,1072.0,145100.0,6332.0,45251.0
2337,171726,TOWN OF RED HK RED HOOK 1,Red Hook,12571,Dutchess County,42.0064,-73.8546,171.0,297500.0,3908.0,69091.0
2338,188115,Town of Roxbury,Roxbury,12474,Delaware County,42.2957,-74.5631,26.0,159000.0,542.0,51750.0
2339,116809,Queens Center - Tesla Supercharger,Queens,11373,Queens County,40.7351,-73.8776,66007.0,499600.0,31348.0,47667.0
2340,181987,SHG FAIRFIELD 1.5,Queensbury,12804,Warren County,43.329,-73.6818,500.0,208400.0,10930.0,60152.0
